movement_code,movement_name,equipment,movement_pattern,recommended_mixamo_search_phrase,recommended_source_animation_family,source_filename,reuse_group,source_mode,blender_pattern,blender_modification_required,standard_modification,easier_modification,recommended_camera_angle,equipment_prop_behaviour,confidence,notes
BAR_CALF_RAISE,Bar Calf Raise,bar,lower_leg,not applicable,scripted calf raise,scripted_blender,scripted_calf_raise,scripted_blender,calf_raise,Procedural heel lift is more precise than a downloaded full-body clip,Full heel rise with quiet torso,Lower heel rise and wider base,front three-quarter,Bar held low with cords under both feet,high,Use the deterministic loop to preserve stable balance and prop tension.
BAR_CURL,Bar Curl,bar,pull,bicep curl standing,standing bicep curl,mixamo_bicep_curl_loop.fbx,curl,mixamo,curl,Retarget hands to MOVA bar and pin feet,Full elbow flexion without torso swing,Partial elbow flexion with stable elbows,front three-quarter,Bar follows both hands; cords remain under feet,high,Choose a symmetric standing curl with no walk-in or turn.
BAR_DEADLIFT,Bar Deadlift,bar,hinge,hip hinge bend over,standing hip hinge,mixamo_hip_hinge_loop.fbx,hinge,mixamo,deadlift,Retarget hands low and add bar path/foot anchors,Controlled low hinge with soft knees,High-start shallow hinge,side,Bar tracks close to shins; cords anchor beneath feet,high,Use a bodyweight hinge rather than a barbell lift to avoid duplicate equipment.
BAR_FRONT_RAISE,Bar Front Raise,bar,shoulder,standing arm raise front,standing front arm raise,mixamo_front_raise_loop.fbx,arm_raise,mixamo,front_raise,Constrain both hands to bar and remove excessive trunk motion,Raises to comfortable chest/shoulder height,Raises below shoulder height,front,Bar remains level between hands; cords anchor under feet,high,A clean bilateral raise is sufficient source biomechanics.
BAR_HINGE,Bar Hinge,bar,hinge,hip hinge bend over,standing hip hinge,mixamo_hip_hinge_loop.fbx,hinge,mixamo,hinge,Retarget hands to bar and add cord anchors,Full controlled hip-back hinge,Reduced hinge depth,side,Bar stays close to thighs; cords stay under feet,high,Same source as deadlift with different prop and range treatment.
BAR_HINGE_ROW,Bar Hinge to Row,bar,combo,standing row bent over,standing row,mixamo_standing_row_loop.fbx,row_with_hinge,mixamo,row,Add a held hip hinge before each pull and attach bar,Moderate hinge with pull to lower ribs,Smaller hinge and shorter pull,side three-quarter,Bar follows hands; cords anchor under feet,medium,The row supplies the pull biomechanics; Blender creates the hinge setup.
BAR_ROW,Bar Row,bar,pull,standing row bent over,standing row,mixamo_standing_row_loop.fbx,row,mixamo,row,Retarget grip to bar and keep root largely fixed,Hinge slightly then pull to lower ribs,More upright stance and shorter pull,front three-quarter,Bar follows both hands; cords anchor under feet,high,Avoid seated rowing or single-arm rowing clips.
BAR_SQUAT,Bar Squat,bar,squat,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat,mixamo,squat,Retarget hands to shoulder-height bar and add cords,Comfortable full squat,Shallower squat with wider stance,front three-quarter,Bar stays at shoulders; cords anchor beneath feet,high,Choose a cyclic bodyweight squat with feet stationary.
BAR_SQUAT_CURL,Bar Squat to Curl,bar,combo,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat_with_curl,mixamo,combined,Overlay a separate scripted bilateral curl during standing phase,Full squat then curl,Shallow squat and shorter curl,front three-quarter,Bar follows hands and transitions from thighs to curl,medium,One squat source is safer than a complex novelty combo animation.
BW_ARM_SWEEP,Arm Sweep,bodyweight,shoulder,standing arm raise front,standing front arm raise,mixamo_front_raise_loop.fbx,arm_raise,mixamo,arm_sweep,Replace vertical raise with outward/back arm sweep,Full comfortable arm sweep,Low arm sweep below shoulder height,front,No equipment,medium,Use the source for bilateral arm timing only.
BW_CALF_RAISE,Calf Raise,bodyweight,lower_leg,not applicable,scripted calf raise,scripted_blender,scripted_calf_raise,scripted_blender,calf_raise,Procedural heel lift is clearer and loopable,Full controlled heel rise,Smaller heel rise and wider base,front three-quarter,No equipment,high,Scripted ankle/root cycle is more reliable than a generic Mixamo clip.
BW_HEEL_TOE_ROCK,Heel-Toe Rock,bodyweight,lower_leg,not applicable,scripted heel-toe rock,scripted_blender,scripted_heel_toe,scripted_blender,weight_shift,Add alternating ankle roll and minimal root shift,Full heel-toe transfer,Smaller shift and stable stance,side,No equipment,high,No Mixamo source: specific foot/ankle control is the point of the exercise.
BW_HINGE,Bodyweight Hinge,bodyweight,hinge,hip hinge bend over,standing hip hinge,mixamo_hip_hinge_loop.fbx,hinge,mixamo,hinge,Keep arms relaxed and remove any carried-object gesture,Full hip-back hinge,Shorter hinge with soft knees,side,No equipment,high,Use a controlled bend/hinge with a fixed camera-facing start.
BW_LATERAL_STEP,Side Step,bodyweight,lateral,side step lateral,standing lateral step,mixamo_lateral_step_loop.fbx,lateral_step,mixamo,lateral_step,Retarget to in-place loop and remove travel,Two controlled steps each direction,Short side tap,front,No equipment,high,Avoid dance, combat, or spinning side-step animations.
BW_MARCH,Standing March,bodyweight,locomotion,march in place,standing march,mixamo_march_in_place_loop.fbx,march,mixamo,march,Retarget root so the subject remains centred,Alternating knee march,Low controlled march,front,No equipment,high,Choose a symmetrical in-place marching loop, not a forward walk.
BW_SIDE_REACH,Standing Side Reach,bodyweight,lateral,not applicable,scripted side reach,scripted_blender,scripted_side_reach,scripted_blender,side_reach,Procedural trunk lateral flexion and arm reach,Alternating side reaches,Shorter reach with stable feet,front,No equipment,high,Scripted motion better isolates lateral flexion than a dance clip.
BW_SPLIT_SHIFT,Split-Stance Weight Shift,bodyweight,locomotion,not applicable,scripted weight shift,scripted_blender,scripted_weight_shift,scripted_blender,weight_shift,Procedural root translation preserves planted staggered feet,Full forward/back transfer,Shorter stance and smaller transfer,side three-quarter,No equipment,high,A scripted loop avoids inappropriate walking translation.
BW_SQUAT,Bodyweight Squat,bodyweight,squat,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat,mixamo,squat,Retarget root to fixed position,Comfortable full squat,Shallow squat,front three-quarter,No equipment,high,Same source as all squat families.
BW_SQUAT_REACH,Squat to Forward Reach,bodyweight,combo,not applicable,scripted squat reach,scripted_blender,scripted_squat_reach,scripted_blender,combined,Compose squat and forward reach with explicit timing,Full squat then forward reach,Shallow squat and lower reach,front three-quarter,No equipment,high,Scripted composition communicates the two distinct phases most clearly.
BW_STEP_BACK,Step Back,bodyweight,locomotion,not applicable,scripted step back,scripted_blender,scripted_step_back,scripted_blender,step_back,Procedural alternating toe-back taps keep frame-centred,Alternating controlled step backs,Toe tap back with little transfer,side three-quarter,No equipment,high,Scripted version avoids a lunge or travelling walk masquerading as a step-back.
BW_THORACIC_ROTATION,Standing Rotation,bodyweight,rotation,not applicable,scripted rotation,scripted_blender,scripted_rotation,scripted_blender,rotation,Procedural chest rotation with stable pelvis,Comfortable alternating rotation,Reduced rotation range,front,No equipment,high,Use keyframes to keep hips and feet quiet.
HB_CALF_RAISE,Handle Band Calf Raise,handle_band,lower_leg,not applicable,scripted calf raise,scripted_blender,scripted_calf_raise,scripted_blender,calf_raise,Procedural heel lift plus handle-band anchors,Full heel rise with gentle band tension,Lower heel rise and wider base,front three-quarter,Handles follow hands; tube stays lightly tensioned under feet,high,Specific resistance/tension is better added procedurally.
HB_CHEST_PRESS,Handle Band Chest Press,handle_band,push,not applicable,scripted chest press,scripted_blender,scripted_chest_press,scripted_blender,chest_press,Procedural bilateral press with fixed staggered/anchored stance,Full press without locked elbows,Shorter press reach,front three-quarter,Handles follow hands; tube anchors behind or under feet per setup,high,Mixamo punch clips have unsuitable acceleration and guard positions.
HB_CURL,Handle Band Curl,handle_band,pull,bicep curl standing,standing bicep curl,mixamo_bicep_curl_loop.fbx,curl,mixamo,curl,Retarget hands to handles and add tube/foot anchors,Full controlled curl,Partial curl range,front three-quarter,Handles follow hands; tube anchors under feet,high,Avoid dumbbell or walking curl sources.
HB_FRONT_RAISE,Handle Band Front Raise,handle_band,shoulder,standing arm raise front,standing front arm raise,mixamo_front_raise_loop.fbx,arm_raise,mixamo,front_raise,Retarget hands to handles and add tube,Raise to chest/shoulder height,Low raise below shoulder height,front,Handles follow hands; tube anchors under feet,high,Avoid overhead press or one-arm reach animations.
HB_HINGE,Handle Band Hinge,handle_band,hinge,hip hinge bend over,standing hip hinge,mixamo_hip_hinge_loop.fbx,hinge,mixamo,hinge,Retarget hands to handles and keep tube below hips,Full controlled hinge,Reduced hinge depth,side,Handles stay beside thighs; tube anchors under feet,high,The neutral hinge source avoids false equipment geometry.
HB_HINGE_ROW,Handle Band Hinge to Row,handle_band,combo,standing row bent over,standing row,mixamo_standing_row_loop.fbx,row_with_hinge,mixamo,row,Add a held hip hinge before each pull and attach handles,Moderate hinge with pull to ribs,Smaller hinge and pull,side three-quarter,Handles follow hands; tube anchors under feet,medium,Row source supplies arm path; Blender supplies hinge posture and band tension.
HB_REVERSE_FLY,Handle Band Reverse Fly,handle_band,pull,not applicable,scripted reverse fly,scripted_blender,scripted_reverse_fly,scripted_blender,reverse_fly,Procedural symmetric arm abduction while hinged,Open arms to comfortable range,Smaller arm spread and less hinge,front three-quarter,Handles follow hands; tube anchors under feet or crossed,high,Mixamo fly-like clips vary too much in shoulder plane for this safety-sensitive motion.
HB_ROW,Handle Band Row,handle_band,pull,standing row bent over,standing row,mixamo_standing_row_loop.fbx,row,mixamo,row,Retarget hands to handles and add tube/foot anchors,Hinge slightly and pull to ribs,More upright and shorter pull,front three-quarter,Handles follow hands; tube anchors under feet,high,Avoid seated machine rows and single-arm pulls.
HB_SQUAT,Handle Band Squat,handle_band,squat,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat,mixamo,squat,Retarget hands to handles at shoulders and add tube,Full controlled squat,Shallow squat with wider base,front three-quarter,Handles near shoulders; tube anchors under feet,high,Same squat source; Blender provides resistance-band mechanics.
HB_SQUAT_CURL,Handle Band Squat to Curl,handle_band,combo,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat_with_curl,mixamo,combined,Overlay scripted curl during standing phase,Full squat then curl,Shallow squat and shorter curl,front three-quarter,Handles follow hands; tube anchors under feet,medium,Keep phases discrete; do not use a fast fitness-dance source.
MINI_CALF_RAISE,Mini Band Calf Raise,mini_band,lower_leg,not applicable,scripted calf raise,scripted_blender,scripted_calf_raise,scripted_blender,calf_raise,Procedural heel lift plus above-knee mini band,Full heel rise with knee-out tension,Lower heel rise and stable base,front three-quarter,Mini band stays above knees and follows thighs,high,Scripted control keeps the band in the correct position.
