movement_code,movement_name,equipment,movement_pattern,difficulty,standard_name,easier_name,primary_cue,easier_cue,setup_cue,space_requirement,video_brief,variant,motion_source,driving_video_path,reference_image_path,output_path,status,attempt_count,qc_status
BAR_CALF_RAISE,Bar Calf Raise,bar,lower_leg,1,Bar Calf Raise,Small Bar Calf Raise,"Rise onto your toes, pause, then lower with control.",Use a smaller lift and keep both feet planted evenly.,Stand evenly on the cords with the bar held low in front of the thighs.,small,Show side three-quarter angle with a slow rise and controlled lower.,standard,motion/source/bar_calf_raise_standard.fbx,motion/processed/bar_calf_raise_standard_driving.mp4,presenter/presenter.png,media/bar/bar_calf_raise/standard_v1.mp4,pending,0,pending
BAR_CALF_RAISE,Bar Calf Raise,bar,lower_leg,1,Bar Calf Raise,Small Bar Calf Raise,"Rise onto your toes, pause, then lower with control.",Use a smaller lift and keep both feet planted evenly.,Stand evenly on the cords with the bar held low in front of the thighs.,small,Show side three-quarter angle with a slow rise and controlled lower.,easier,motion/source/bar_calf_raise_easier.fbx,motion/processed/bar_calf_raise_easier_driving.mp4,presenter/presenter.png,media/bar/bar_calf_raise/easier_v1.mp4,pending,0,pending
BAR_CURL,Bar Curl,bar,pull,1,Bar Curl,Short-Range Bar Curl,Keep elbows close and curl without swinging.,Use a smaller range and keep elbows still.,Stand on the cords with the bar at thigh level and palms forward.,small,Show front view. Keep torso still and elbows close.,standard,motion/source/bar_curl_standard.fbx,motion/processed/bar_curl_standard_driving.mp4,presenter/presenter.png,media/bar/bar_curl/standard_v1.mp4,pending,0,pending
BAR_CURL,Bar Curl,bar,pull,1,Bar Curl,Short-Range Bar Curl,Keep elbows close and curl without swinging.,Use a smaller range and keep elbows still.,Stand on the cords with the bar at thigh level and palms forward.,small,Show front view. Keep torso still and elbows close.,easier,motion/source/bar_curl_easier.fbx,motion/processed/bar_curl_easier_driving.mp4,presenter/presenter.png,media/bar/bar_curl/easier_v1.mp4,pending,0,pending
BAR_DEADLIFT,Bar Deadlift,bar,hinge,2,Bar Deadlift,High-Start Bar Deadlift,"Bend knees and hips together, then drive the floor away.",Use a shallower start position and stand tall.,Stand on the cords with the bar in front of the thighs. Set feet slightly wider than hip-width.,small,Show front and side three-quarter angle. Keep bar close and movement controlled.,standard,motion/source/bar_deadlift_standard.fbx,motion/processed/bar_deadlift_standard_driving.mp4,presenter/presenter.png,media/bar/bar_deadlift/standard_v1.mp4,pending,0,pending
BAR_DEADLIFT,Bar Deadlift,bar,hinge,2,Bar Deadlift,High-Start Bar Deadlift,"Bend knees and hips together, then drive the floor away.",Use a shallower start position and stand tall.,Stand on the cords with the bar in front of the thighs. Set feet slightly wider than hip-width.,small,Show front and side three-quarter angle. Keep bar close and movement controlled.,easier,motion/source/bar_deadlift_easier.fbx,motion/processed/bar_deadlift_easier_driving.mp4,presenter/presenter.png,media/bar/bar_deadlift/easier_v1.mp4,pending,0,pending
BAR_FRONT_RAISE,Bar Front Raise,bar,shoulder,2,Bar Front Raise,Low Bar Front Raise,Raise the bar only to a comfortable chest height.,Lift only part way and keep your ribs down.,Stand on the cords with the bar resting lightly in front of the thighs.,small,Show front view. Stop below shoulder height and avoid leaning back.,standard,motion/source/bar_front_raise_standard.fbx,motion/processed/bar_front_raise_standard_driving.mp4,presenter/presenter.png,media/bar/bar_front_raise/standard_v1.mp4,pending,0,pending
BAR_FRONT_RAISE,Bar Front Raise,bar,shoulder,2,Bar Front Raise,Low Bar Front Raise,Raise the bar only to a comfortable chest height.,Lift only part way and keep your ribs down.,Stand on the cords with the bar resting lightly in front of the thighs.,small,Show front view. Stop below shoulder height and avoid leaning back.,easier,motion/source/bar_front_raise_easier.fbx,motion/processed/bar_front_raise_easier_driving.mp4,presenter/presenter.png,media/bar/bar_front_raise/easier_v1.mp4,pending,0,pending
BAR_HINGE,Bar Hinge,bar,hinge,1,Bar Hinge,Short-Range Bar Hinge,Push hips back. Keep the bar close to your legs.,Hinge only as far as you can keep control.,Stand on the cords with the bar in front of the thighs and feet about hip-width.,small,"Show side three-quarter angle. Emphasise hips moving back, soft knees and bar staying close.",standard,motion/source/bar_hinge_standard.fbx,motion/processed/bar_hinge_standard_driving.mp4,presenter/presenter.png,media/bar/bar_hinge/standard_v1.mp4,pending,0,pending
BAR_HINGE,Bar Hinge,bar,hinge,1,Bar Hinge,Short-Range Bar Hinge,Push hips back. Keep the bar close to your legs.,Hinge only as far as you can keep control.,Stand on the cords with the bar in front of the thighs and feet about hip-width.,small,"Show side three-quarter angle. Emphasise hips moving back, soft knees and bar staying close.",easier,motion/source/bar_hinge_easier.fbx,motion/processed/bar_hinge_easier_driving.mp4,presenter/presenter.png,media/bar/bar_hinge/easier_v1.mp4,pending,0,pending
